grey,0.3000,0.3000,0.3000
taupe,0.4784,0.3686,0.2824
brown,0.8000,0.4000,0.1000
flushorange,1.0000,0.5000,0.0000
rust,0.8745,0.5490,0.0706
mantis,0.4510,0.8078,0.4863
olive,0.4824,0.5216,0.0706
killarney,0.1843,0.3725,0.1843
teal,0.0000,0.5020,0.5020
steel,0.2700,0.5100,0.7100
skyblue,0.5000,0.5500,0.9500
greyblue,0.3882,0.4275,0.6196
margueriteblue,0.4200,0.3500,0.8000
hyperblue,0.0000,0.3333,0.6157
navy,0.0431,0.0157,0.3412
clairvoyant,0.4000,0.0353,0.4078
magenta,0.6941,0.0627,0.3608
aubergine,0.2941,0.0706,0.2314
merlot,0.4157,0.0157,0.1725
applered,0.5961,0.0353,0.0431
burgundy,0.6500,0.1600,0.1600
naphthol,1.0000,0.2784,0.2000
